NAME;STATIONSHOEHE;LAENGE DEZI;BREITE DEZI;d0*(30)28;;;
ACHENKIRCH;931;11,70666695;47,49944305;135;;;
BRENNER;1412;11,51083374;47,00722122;107;;;
DRESDNER HUETTE;2290;11,139592;46,996976;100;;;
EHRWALD;982;10,91999912;47,40416718;123;;;
GALTUER;1587;10,18555546;46,96805573;105;;;
GERLOS;2124;11,99518848;47,26323384;123;;;
GINZLING;987;11,810448;47,10006;118;;;
GNADENWALD;900;11,561181;47,321116;161;;;
GRAMAIS;1320;10,53521406;47,26831579;113;;;
GRIES IM SELLRAIN;1200;11,156244;47,195008;102;;;
HAHNENKAMM/EHRENBACHHOEHE;1794;12,3591671;47,41833115;116;;;
HINTERHORNBACH;1100;10,454877;47,359145;153;;;
HINTERISS;940;11,466038;47,47312;131;;;
HOLZGAU;1092;10,33861065;47,25749969;147;;;
INNSBRUCK SEEGRUBE;1995;11,378082;47,30638;217;;;
JOCHBERG;950;12,4263;47,3821;120;;;
KALS;1352;12,64638901;47,0047226;119;;;
KELCHSAU;800;12,138193;47,385723;113;;;
Kirchberg in Tirol;811;12,314254;47,446538;125;;;
KUEHTAI LANGENTAL;1918;11,005895;47,207149;116;;;
LANDECK;796;10,56361103;47,14027786;101;;;
LANERSBACH;1280;11,733761;47,158386;106;;;
LEUTASCH KIRCHPLATZL;1135;11,142069;47,370543;126;;;
MATREI AM BRENNER;991;11,45352083;47,12942608;101;;;
NAMLOS;1260;10,65796996;47,35441996;132;;;
NAUDERS;1330;10,49694443;46,89110947;110;;;
OBERGURGL;1941;11,02444363;46,8669434;84;;;
OBERNBERG AM BRENNER;1400;11,425941;47,0178148;109;;;
OBERTILLIACH;1380;12,618567;46,708224;165;;;
PATSCHERKOFEL;2251;11,4622221;47,20888901;62;;;
PENKEN;1785;11,8331;47,1747;132;;;
PRAEGRATEN;1300;12,374978;47,017565;118;;;
REUTTE;842;10,71527767;47,4944458;179;;;
RINN;924;11,50388908;47,24916458;89;;;
SCHARNITZ;959;11,26482859;47,38887776;133;;;
SCHAUFELSPITZE;3200;11,1109;46,9772;84;;;
SEEFELD;1182;11,17555523;47,32472229;122;;;
SILLIAN;1081;12,42361069;46,74638748;149;;;
SOELDEN;1382;11,012895;46,961489;86;;;
SPISS;1675;10,427377;46,9603364;123;;;
ST.ANTON AM ARLBERG;1304;10,26666641;47,13138962;126;;;
ST.JAKOB/DEF.;1383;12,35388851;46,9169426;121;;;
ST.LEONHARD/PITZTAL;1454;10,86555576;47,02722168;83;;;
TANNHEIM;1100;10,50583363;47,50027847;130;;;
TELFES IM STUBAI;1070;11,36121785;47,17112826;102;;;
UMHAUSEN;1035;10,92888832;47,13916779;89;;;
VENT;1890;10,91074276;46,8564301;121;;;
VERMUNT;1735;10,0611;46,9383;185;;;
